Alabama,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Alaska,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Arizona,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Arkansas,Social Distancing,,Closed Schools,Closed Bars/Restaurants
California,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Colorado,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Connecticut,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Delaware,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Florida,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Georgia,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Hawaii,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Idaho,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Illinois,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Indiana,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Iowa,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Kansas,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Kentucky,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Louisiana,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Maine,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Maryland,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Massachusetts,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Michigan,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Minnesota,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Mississippi,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Missouri,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Montana,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Nebraska,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Nevada,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
New Hampshire,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
New Jersey,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
New Mexico,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
New York,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
North Carolina,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
North Dakota,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Ohio,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Oklahoma,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Oregon,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Pennsylvania,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Rhode Island,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
South Carolina,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
South Dakota,No Action,,Closed Schools,
TennesseeÂ ,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Texas,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Utah,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Vermont,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Virginia,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Washington,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
West Virginia,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Wisconsin,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Wyoming,Social Distancing,,Closed Schools,Closed Bars/Restaurants